Module	Section	Sample Name	Source
QualiMap	genome_results	SRR12223709_SRP271933_Undaria_pinnatifida_individual_37_2018-01-04_NAT_Kr_Goseong_1_South_Korea	/scratch/mharden/undaria_variation/SRR12223709_bamqc_results/genome_results.txt
QualiMap	genome_results	SRR12223735_SRP271933_Undaria_pinnatifida_individual_13_1987-08-14_INTRO_NZ_Well1987_1_New_Zealand	/scratch/mharden/undaria_variation/SRR12223735_bamqc_results/genome_results.txt
QualiMap	genome_results	SRR12223721_SRP271933_Undaria_pinnatifida_individual_26_2017-04-04_CUL_Kr_Wando2017_1_South_Korea	/scratch/mharden/undaria_variation/SRR12223721_bamqc_results/genome_results.txt
QualiMap	genome_results	SRR12223699_SRP271933_Undaria_pinnatifida_individual_10_2016-04-05_INTRO_Fr_Thau_5_France	/scratch/mharden/undaria_variation/SRR12223699_bamqc_results/genome_results.txt
QualiMap	genome_results	SRR12223718_SRP271933_Undaria_pinnatifida_individual_29_2017-04-04_CUL_Kr_Wando2017_4_South_Korea	/scratch/mharden/undaria_variation/SRR12223718_bamqc_results/genome_results.txt
QualiMap	genome_results	SRR12223724_SRP271933_Undaria_pinnatifida_individual_23_2015-01-23_CUL_Kr_Wando2015_2_South_Korea	/scratch/mharden/undaria_variation/SRR12223724_bamqc_results/genome_results.txt
QualiMap	genome_results	SRR12223730_SRP271933_Undaria_pinnatifida_individual_18_2017-01-09_INTRO_NZ_Well2017_4_New_Zealand	/scratch/mharden/undaria_variation/SRR12223730_bamqc_results/genome_results.txt
QualiMap	genome_results	SRR12223717_SRP271933_Undaria_pinnatifida_individual_30_2017-04-04_CUL_Kr_Wando2017_5_South_Korea	/scratch/mharden/undaria_variation/SRR12223717_bamqc_results/genome_results.txt
QualiMap	genome_results	SRR12223703_SRP271933_Undaria_pinnatifida_individual_6_2016-04-05_INTRO_Fr_Thau_1_France	/scratch/mharden/undaria_variation/SRR12223703_bamqc_results/genome_results.txt
QualiMap	genome_results	SRR12223706_SRP271933_Undaria_pinnatifida_individual_40_2018-01-04_NAT_Kr_Goseong_4_South_Korea	/scratch/mharden/undaria_variation/SRR12223706_bamqc_results/genome_results.txt
