Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR12223699_SRP271933_Undaria_pinnatifida_individual_10_2016-04-05_INTRO_Fr_Thau_5_France_1	SRR12223699_SRP271933_Undaria_pinnatifida_individual_10_2016-04-05_INTRO_Fr_Thau_5_France_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108645166.0	0.0	101.0	48.0	83.69239985039664	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
SRR12223699_SRP271933_Undaria_pinnatifida_individual_10_2016-04-05_INTRO_Fr_Thau_5_France_2	SRR12223699_SRP271933_Undaria_pinnatifida_individual_10_2016-04-05_INTRO_Fr_Thau_5_France_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108645166.0	0.0	101.0	47.0	86.56652590925609	101.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
SRR12223700_SRP271933_Undaria_pinnatifida_individual_9_2016-04-05_INTRO_Fr_Thau_4_France_1	SRR12223700_SRP271933_Undaria_pinnatifida_individual_9_2016-04-05_INTRO_Fr_Thau_4_France_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103876745.0	0.0	101.0	48.0	84.25155630474772	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223700_SRP271933_Undaria_pinnatifida_individual_9_2016-04-05_INTRO_Fr_Thau_4_France_2	SRR12223700_SRP271933_Undaria_pinnatifida_individual_9_2016-04-05_INTRO_Fr_Thau_4_France_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103876745.0	0.0	101.0	48.0	85.06844727319618	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223701_SRP271933_Undaria_pinnatifida_individual_8_2016-04-05_INTRO_Fr_Thau_3_France_1	SRR12223701_SRP271933_Undaria_pinnatifida_individual_8_2016-04-05_INTRO_Fr_Thau_3_France_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	104370102.0	0.0	101.0	47.0	82.03388122478356	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223701_SRP271933_Undaria_pinnatifida_individual_8_2016-04-05_INTRO_Fr_Thau_3_France_2	SRR12223701_SRP271933_Undaria_pinnatifida_individual_8_2016-04-05_INTRO_Fr_Thau_3_France_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	104370102.0	0.0	101.0	47.0	82.84156404450631	101.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
SRR12223702_SRP271933_Undaria_pinnatifida_individual_7_2016-04-05_INTRO_Fr_Thau_2_France_1	SRR12223702_SRP271933_Undaria_pinnatifida_individual_7_2016-04-05_INTRO_Fr_Thau_2_France_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111288578.0	0.0	101.0	48.0	83.56770995195723	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223702_SRP271933_Undaria_pinnatifida_individual_7_2016-04-05_INTRO_Fr_Thau_2_France_2	SRR12223702_SRP271933_Undaria_pinnatifida_individual_7_2016-04-05_INTRO_Fr_Thau_2_France_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111288578.0	0.0	101.0	47.0	95.8469496350549	101.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
SRR12223703_SRP271933_Undaria_pinnatifida_individual_6_2016-04-05_INTRO_Fr_Thau_1_France_1	SRR12223703_SRP271933_Undaria_pinnatifida_individual_6_2016-04-05_INTRO_Fr_Thau_1_France_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114048358.0	0.0	101.0	47.0	81.25038556094601	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223703_SRP271933_Undaria_pinnatifida_individual_6_2016-04-05_INTRO_Fr_Thau_1_France_2	SRR12223703_SRP271933_Undaria_pinnatifida_individual_6_2016-04-05_INTRO_Fr_Thau_1_France_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114048358.0	0.0	101.0	47.0	82.12241848910334	101.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
SRR12223704_SRP271933_Undaria_pinnatifida_individual_41_2018-01-04_NAT_Kr_Goseong_5_South_Korea_1	SRR12223704_SRP271933_Undaria_pinnatifida_individual_41_2018-01-04_NAT_Kr_Goseong_5_South_Korea_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101212765.0	0.0	101.0	48.0	83.93984273108597	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
